2020-04-15T19:58:48.324570_0,9,1,2.99,06-1-2019
2020-04-15T19:58:48.324570_0,78,2,7.6,06-1-2019
2020-04-15T19:58:48.324570_0,97,1,5.99,06-1-2019
2020-04-15T19:58:48.324570_0,62,1,6.5,06-1-2019
2020-04-15T19:58:48.324570_0,100,1,1.99,06-1-2019
2020-04-15T19:58:48.324570_0,43,1,3.99,06-1-2019
2020-04-15T19:58:48.324570_0,12,5,9.0,06-1-2019
2020-04-15T19:58:48.324570_0,22,4,11.16,06-1-2019
2020-04-15T19:58:48.324570_0,13,2,5.96,06-1-2019
2020-04-15T19:58:48.324570_1,7,4,6.0,06-1-2019
2020-04-15T19:58:48.324570_1,15,4,11.92,06-1-2019
2020-04-15T19:58:48.324570_1,98,1,4.99,06-1-2019
2020-04-15T19:58:48.324570_1,4,2,5.98,06-1-2019
2020-04-15T19:58:48.324570_1,6,5,9.95,06-1-2019
2020-04-15T19:58:48.324570_1,60,5,9.95,06-1-2019
2020-04-15T19:58:48.324570_1,28,3,8.67,06-1-2019
2020-04-15T19:58:48.324570_1,81,1,3.59,06-1-2019
2020-04-15T19:58:48.324570_2,28,4,11.56,06-1-2019
2020-04-15T19:58:48.324570_3,16,3,9.42,06-1-2019
2020-04-15T19:58:48.324570_3,51,1,2.49,06-1-2019
2020-04-15T19:58:48.324570_4,89,4,11.12,06-1-2019
2020-04-15T19:58:48.324570_4,60,3,5.97,06-1-2019
2020-04-15T19:58:48.324570_4,49,1,3.99,06-1-2019
2020-04-15T19:58:48.324570_4,66,3,11.97,06-1-2019
2020-04-15T19:58:48.324570_4,10,3,5.37,06-1-2019
2020-04-15T19:58:48.324570_4,42,4,1.56,06-1-2019
2020-04-15T19:58:48.324570_4,76,2,1.14,06-1-2019
2020-04-15T19:58:48.324570_4,96,4,11.0,06-1-2019
2020-04-15T19:58:48.324570_4,7,3,4.5,06-1-2019
2020-04-15T19:58:48.324570_4,55,1,0.78,06-1-2019
2020-04-15T19:58:48.324570_5,72,1,3.84,06-1-2019
2020-04-15T19:58:48.324570_5,74,2,1.9,06-1-2019
2020-04-15T19:58:48.324570_5,90,3,2.97,06-1-2019
2020-04-15T19:58:48.324570_5,37,1,2.69,06-1-2019
2020-04-15T19:58:48.324570_5,58,1,2.25,06-1-2019
2020-04-15T19:58:48.324570_5,3,2,4.9,06-1-2019
2020-04-15T19:58:48.324570_5,4,5,14.95,06-1-2019
2020-04-15T19:58:48.324570_5,56,2,3.18,06-1-2019
2020-04-15T19:58:48.324570_5,28,5,14.45,06-1-2019
2020-04-15T19:58:48.324570_6,94,3,5.97,06-1-2019
2020-04-15T19:58:48.324570_6,38,2,7.0,06-1-2019
2020-04-15T19:58:48.324570_6,9,3,8.97,06-1-2019
2020-04-15T19:58:48.324570_6,56,1,1.59,06-1-2019
2020-04-15T19:58:48.324570_7,41,2,4.78,06-1-2019
2020-04-15T19:58:48.324570_8,5,5,8.75,06-1-2019
2020-04-15T19:58:48.324570_8,14,4,3.96,06-1-2019
2020-04-15T19:58:48.324570_8,69,2,7.98,06-1-2019
2020-04-15T19:58:48.324570_8,76,4,2.28,06-1-2019
