2020-04-15T19:59:03.186525_0,2,1361,08-1-2019
2020-04-15T19:59:03.186525_1,2,1540,08-1-2019
2020-04-15T19:59:03.186525_2,1,1452,08-1-2019
2020-04-15T19:59:03.186525_3,2,1335,08-1-2019
2020-04-15T19:59:03.186525_4,2,1366,08-1-2019
2020-04-15T19:59:03.186525_5,2,1798,08-1-2019
2020-04-15T19:59:03.186525_6,2,1589,08-1-2019
2020-04-15T19:59:03.186525_7,2,1570,08-1-2019
2020-04-15T19:59:03.186525_8,2,1367,08-1-2019
2020-04-15T19:59:03.186525_9,1,1942,08-2-2019
2020-04-15T19:59:03.186525_10,2,1973,08-2-2019
2020-04-15T19:59:03.186525_11,1,1346,08-2-2019
2020-04-15T19:59:03.186525_12,3,1460,08-2-2019
2020-04-15T19:59:03.186525_13,3,1509,08-2-2019
2020-04-15T19:59:03.186525_14,1,1134,08-2-2019
2020-04-15T19:59:03.186525_15,3,1761,08-2-2019
2020-04-15T19:59:03.186525_16,2,1967,08-2-2019
2020-04-15T19:59:03.186525_17,1,1277,08-2-2019
2020-04-15T19:59:03.186525_18,2,1884,08-3-2019
2020-04-15T19:59:03.186525_19,2,1366,08-3-2019
2020-04-15T19:59:03.186525_20,3,1522,08-3-2019
2020-04-15T19:59:03.186525_21,2,1795,08-3-2019
2020-04-15T19:59:03.186525_22,2,1509,08-3-2019
2020-04-15T19:59:03.186525_23,2,1310,08-3-2019
2020-04-15T19:59:03.186525_24,1,1142,08-3-2019
2020-04-15T19:59:03.186525_25,1,1856,08-3-2019
2020-04-15T19:59:03.186525_26,3,1030,08-3-2019
2020-04-15T19:59:03.186525_27,3,1232,08-3-2019
2020-04-15T19:59:03.186525_28,2,1100,08-3-2019
2020-04-15T19:59:03.186525_29,3,1335,08-3-2019
2020-04-15T19:59:03.186525_30,3,1856,08-3-2019
2020-04-15T19:59:03.186525_31,2,1368,08-3-2019
2020-04-15T19:59:03.186525_32,1,1013,08-3-2019
2020-04-15T19:59:03.186525_33,1,1372,08-3-2019
2020-04-15T19:59:03.186525_34,1,1886,08-3-2019
2020-04-15T19:59:03.186525_35,1,1928,08-3-2019
2020-04-15T19:59:03.186525_36,2,1406,08-3-2019
2020-04-15T19:59:03.186525_37,2,1251,08-3-2019
2020-04-15T19:59:03.186525_38,1,1697,08-3-2019
2020-04-15T19:59:03.186525_39,1,1701,08-3-2019
2020-04-15T19:59:03.186525_40,2,1509,08-3-2019
2020-04-15T19:59:03.187521_41,2,1165,08-4-2019
2020-04-15T19:59:03.187521_42,3,1368,08-4-2019
2020-04-15T19:59:03.187521_43,2,1346,08-4-2019
2020-04-15T19:59:03.187521_44,3,1684,08-4-2019
2020-04-15T19:59:03.187521_45,1,1898,08-4-2019
2020-04-15T19:59:03.187521_46,1,1307,08-4-2019
2020-04-15T19:59:03.187521_47,3,1460,08-4-2019
2020-04-15T19:59:03.187521_48,3,1513,08-4-2019
2020-04-15T19:59:03.187521_49,2,1085,08-4-2019
2020-04-15T19:59:03.187521_50,3,1589,08-4-2019
2020-04-15T19:59:03.187521_51,1,1923,08-4-2019
2020-04-15T19:59:03.187521_52,2,1371,08-4-2019
2020-04-15T19:59:03.187521_53,2,1928,08-4-2019
2020-04-15T19:59:03.187521_54,2,1513,08-4-2019
2020-04-15T19:59:03.187521_55,1,1200,08-4-2019
2020-04-15T19:59:03.187521_56,3,1886,08-4-2019
2020-04-15T19:59:03.187521_57,3,1010,08-4-2019
2020-04-15T19:59:03.187521_58,1,1250,08-4-2019
2020-04-15T19:59:03.187521_59,1,1134,08-4-2019
2020-04-15T19:59:03.187521_60,1,1061,08-4-2019
2020-04-15T19:59:03.187521_61,2,1660,08-4-2019
2020-04-15T19:59:03.187521_62,3,1142,08-4-2019
2020-04-15T19:59:03.187521_63,3,1520,08-4-2019
2020-04-15T19:59:03.187521_64,2,1250,08-5-2019
2020-04-15T19:59:03.187521_65,2,1925,08-5-2019
2020-04-15T19:59:03.187521_66,1,1414,08-5-2019
2020-04-15T19:59:03.187521_67,2,1372,08-5-2019
2020-04-15T19:59:03.187521_68,3,1992,08-5-2019
2020-04-15T19:59:03.187521_69,2,1865,08-5-2019
2020-04-15T19:59:03.187521_70,2,1194,08-5-2019
2020-04-15T19:59:03.187521_71,1,1511,08-5-2019
2020-04-15T19:59:03.187521_72,3,1142,08-6-2019
2020-04-15T19:59:03.187521_73,1,1489,08-6-2019
2020-04-15T19:59:03.187521_74,1,1856,08-6-2019
2020-04-15T19:59:03.187521_75,3,1031,08-6-2019
2020-04-15T19:59:03.187521_76,2,1010,08-6-2019
2020-04-15T19:59:03.187521_77,2,1549,08-6-2019
2020-04-15T19:59:03.187521_78,1,1406,08-6-2019
2020-04-15T19:59:03.187521_79,1,1282,08-6-2019
2020-04-15T19:59:03.187521_80,1,1164,08-6-2019
2020-04-15T19:59:03.187521_81,3,1087,08-6-2019
2020-04-15T19:59:03.187521_82,3,1272,08-6-2019
2020-04-15T19:59:03.187521_83,1,1522,08-7-2019
2020-04-15T19:59:03.187521_84,3,1886,08-7-2019
2020-04-15T19:59:03.187521_85,1,1900,08-7-2019
2020-04-15T19:59:03.187521_86,3,1085,08-7-2019
2020-04-15T19:59:03.187521_87,3,1792,08-7-2019
2020-04-15T19:59:03.187521_88,2,1513,08-7-2019
2020-04-15T19:59:03.187521_89,3,1898,08-7-2019
2020-04-15T19:59:03.187521_90,1,1234,08-8-2019
2020-04-15T19:59:03.187521_91,3,1697,08-8-2019
2020-04-15T19:59:03.187521_92,2,1331,08-8-2019
2020-04-15T19:59:03.187521_93,3,1884,08-8-2019
2020-04-15T19:59:03.187521_94,3,1900,08-8-2019
2020-04-15T19:59:03.187521_95,1,1100,08-8-2019
2020-04-15T19:59:03.187521_96,3,1798,08-8-2019
2020-04-15T19:59:03.187521_97,3,1625,08-8-2019
2020-04-15T19:59:03.187521_98,1,1165,08-9-2019
2020-04-15T19:59:03.187521_99,1,1385,08-9-2019
2020-04-15T19:59:03.187521_100,2,1881,08-9-2019
2020-04-15T19:59:03.187521_101,1,1422,08-9-2019
2020-04-15T19:59:03.187521_102,3,1898,08-9-2019
2020-04-15T19:59:03.187521_103,1,1865,08-9-2019
2020-04-15T19:59:03.187521_104,2,1367,08-9-2019
2020-04-15T19:59:03.188523_105,3,1194,08-9-2019
2020-04-15T19:59:03.188523_106,1,1335,08-9-2019
2020-04-15T19:59:03.188523_107,1,1660,08-9-2019
2020-04-15T19:59:03.188523_108,3,1222,08-10-2019
2020-04-15T19:59:03.188523_109,2,1620,08-10-2019
2020-04-15T19:59:03.188523_110,2,1620,08-10-2019
2020-04-15T19:59:03.188523_111,3,1142,08-10-2019
2020-04-15T19:59:03.188523_112,2,1100,08-10-2019
2020-04-15T19:59:03.188523_113,3,1346,08-10-2019
2020-04-15T19:59:03.188523_114,3,1520,08-10-2019
2020-04-15T19:59:03.188523_115,2,1973,08-10-2019
2020-04-15T19:59:03.188523_116,3,1650,08-10-2019
2020-04-15T19:59:03.188523_117,3,1292,08-10-2019
2020-04-15T19:59:03.188523_118,2,1031,08-10-2019
2020-04-15T19:59:03.188523_119,1,1372,08-10-2019
2020-04-15T19:59:03.188523_120,1,1100,08-10-2019
2020-04-15T19:59:03.188523_121,1,1684,08-10-2019
2020-04-15T19:59:03.188523_122,1,1272,08-10-2019
2020-04-15T19:59:03.188523_123,2,1142,08-10-2019
2020-04-15T19:59:03.188523_124,1,1721,08-10-2019
2020-04-15T19:59:03.188523_125,3,1402,08-10-2019
2020-04-15T19:59:03.188523_126,1,1366,08-10-2019
2020-04-15T19:59:03.188523_127,1,1973,08-10-2019
2020-04-15T19:59:03.188523_128,3,1164,08-10-2019
2020-04-15T19:59:03.188523_129,2,1973,08-10-2019
2020-04-15T19:59:03.188523_130,3,1973,08-10-2019
2020-04-15T19:59:03.189521_131,3,1298,08-11-2019
2020-04-15T19:59:03.189521_132,2,1684,08-11-2019
2020-04-15T19:59:03.189521_133,2,1272,08-11-2019
2020-04-15T19:59:03.189521_134,3,1207,08-11-2019
2020-04-15T19:59:03.189521_135,2,1540,08-11-2019
2020-04-15T19:59:03.189521_136,1,1489,08-11-2019
2020-04-15T19:59:03.189521_137,2,1684,08-11-2019
2020-04-15T19:59:03.189521_138,2,1406,08-11-2019
2020-04-15T19:59:03.189521_139,3,1346,08-11-2019
2020-04-15T19:59:03.189521_140,2,1460,08-11-2019
2020-04-15T19:59:03.189521_141,3,1085,08-11-2019
2020-04-15T19:59:03.189521_142,1,1165,08-11-2019
2020-04-15T19:59:03.189521_143,2,1509,08-11-2019
2020-04-15T19:59:03.189521_144,2,1580,08-11-2019
2020-04-15T19:59:03.189521_145,3,1881,08-11-2019
2020-04-15T19:59:03.189521_146,1,1855,08-11-2019
2020-04-15T19:59:03.189521_147,3,1298,08-11-2019
2020-04-15T19:59:03.189521_148,1,1595,08-11-2019
2020-04-15T19:59:03.189521_149,2,1855,08-11-2019
2020-04-15T19:59:03.189521_150,1,1335,08-11-2019
2020-04-15T19:59:03.189521_151,2,1865,08-11-2019
2020-04-15T19:59:03.189521_152,3,1371,08-11-2019
2020-04-15T19:59:03.189521_153,2,1010,08-11-2019
2020-04-15T19:59:03.189521_154,1,1701,08-12-2019
2020-04-15T19:59:03.189521_155,2,1522,08-12-2019
2020-04-15T19:59:03.189521_156,3,1292,08-12-2019
2020-04-15T19:59:03.189521_157,3,1684,08-12-2019
2020-04-15T19:59:03.189521_158,1,1511,08-12-2019
2020-04-15T19:59:03.189521_159,1,1368,08-12-2019
2020-04-15T19:59:03.189521_160,2,1856,08-12-2019
2020-04-15T19:59:03.189521_161,2,1568,08-12-2019
2020-04-15T19:59:03.189521_162,2,1010,08-12-2019
2020-04-15T19:59:03.189521_163,1,1134,08-13-2019
2020-04-15T19:59:03.189521_164,3,1333,08-13-2019
2020-04-15T19:59:03.189521_165,1,1923,08-13-2019
2020-04-15T19:59:03.189521_166,1,1085,08-13-2019
2020-04-15T19:59:03.189521_167,2,1101,08-13-2019
2020-04-15T19:59:03.189521_168,2,1346,08-13-2019
2020-04-15T19:59:03.190520_169,3,1251,08-13-2019
2020-04-15T19:59:03.190520_170,1,1636,08-13-2019
2020-04-15T19:59:03.190520_171,3,1589,08-13-2019
2020-04-15T19:59:03.190520_172,3,1402,08-14-2019
2020-04-15T19:59:03.190520_173,1,1487,08-14-2019
2020-04-15T19:59:03.190520_174,2,1886,08-14-2019
2020-04-15T19:59:03.190520_175,1,1513,08-14-2019
2020-04-15T19:59:03.190520_176,1,1361,08-14-2019
2020-04-15T19:59:03.190520_177,1,1061,08-14-2019
2020-04-15T19:59:03.190520_178,1,1454,08-14-2019
2020-04-15T19:59:03.190520_179,3,1277,08-14-2019
2020-04-15T19:59:03.190520_180,3,1942,08-14-2019
2020-04-15T19:59:03.190520_181,1,1372,08-14-2019
2020-04-15T19:59:03.190520_182,3,1452,08-14-2019
2020-04-15T19:59:03.190520_183,3,1792,08-15-2019
2020-04-15T19:59:03.190520_184,2,1540,08-15-2019
2020-04-15T19:59:03.190520_185,2,1222,08-15-2019
2020-04-15T19:59:03.190520_186,3,1506,08-15-2019
2020-04-15T19:59:03.190520_187,3,1298,08-15-2019
2020-04-15T19:59:03.190520_188,2,1795,08-15-2019
2020-04-15T19:59:03.190520_189,3,1307,08-15-2019
2020-04-15T19:59:03.190520_190,1,1580,08-15-2019
2020-04-15T19:59:03.190520_191,3,1031,08-15-2019
2020-04-15T19:59:03.190520_192,2,1973,08-15-2019
2020-04-15T19:59:03.190520_193,1,1509,08-16-2019
2020-04-15T19:59:03.190520_194,2,1100,08-16-2019
2020-04-15T19:59:03.190520_195,2,1589,08-16-2019
2020-04-15T19:59:03.190520_196,3,1165,08-16-2019
2020-04-15T19:59:03.190520_197,3,1701,08-16-2019
2020-04-15T19:59:03.190520_198,1,1200,08-16-2019
2020-04-15T19:59:03.190520_199,2,1992,08-16-2019
